,id,contaminant,average_result,max_result,health_limit_exceeded,legal_limit_exceeded,zipcode,locations_served,supplier_name,violation,date_of_violation,number_of_people_served,health_limit_flag,legal_limit_flag
19,121,Aluminum,256.67 ppb,450 ppb,200 ppb,200 ppb,8533,"BRICK TWP, NJ; BRICK TWP.-1506, NJ",Brick Township Mua,"Over maximum contaminant level, AveragepH",2005/01/01 - 2005/12/31,80494,Yes,Yes
20,128,Combined Radium (-226 & -228),3.02 pCi/L,5.76 pCi/L,. Source,5 pCi,8533,"LITTLE EGG HARBOR-1516, NJ; LITTLE EGG HBR, NJ",Little Egg Harbor Twp Mu,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/06/01 - 2005/06/30,22075,Yes,Yes
21,129,Combined Uranium (mg/L),2 ppb,2 ppb,. Source,30 ppb,8533,"BEACH HAVEN, NJ; BEACH HAVEN BORO-1503, NJ",Beach Haven Water Dept,"Failure to monitor, Routine Minor (Coliform bacteria)",2006/06/01 - 2006/06/30,20000,Yes,No
22,152,Nitrate,0.03 ppm,0.1 ppm,10 ppm,10 ppm,8533,"LAKEHURST BORO, NJ; LAKEHURST BORO-1513, NJ",Lakehurst Water Dept,"Failure to monitor, Routine Minor (Coliform bacteria)",2005/08/01 - 2005/08/31,2250,No,No
23,131,Bromodichloromethane,0.68 ppb,1.7 ppb,. Source,80 ppb,8533,"STAFFORD TWP, NJ; STAFFORD TWP.-1530, NJ",Stafford Twp Water - Beach Haven West,Follow-up and Routine Tap Sampling,2005/10/01 - 2025/12/31,19812,Yes,No
24,137,Aluminum,362.5 ppb,550 ppb,200 ppb,200 ppb,8533,"BERKELEY TWP, NJ; BERKELEY TWP.-1505, NJ",Aqua NJ Eastern Division,Follow-up and Routine Tap Sampling,2008/10/01 - 2025/12/31,12000,Yes,Yes
25,138,Total haloacetic acids (HAAs),28.61 ppb,61.7 ppb,0.7 ppb,60 ppb,8533,"POINT P. BEACH BORO-1525, NJ; PT PLEAS BEACH, NJ",Point Pleasant Beach Water Department,Follow-up and Routine Tap Sampling,2006/10/01 - 2025/12/31,12000,Yes,Yes
26,139,Combined Uranium (mg/L),2 ppb,2 ppb,. Source,30 ppb,8533,"SHIP BOTTOM, NJ; SHIP BOTTOM BORO-1528, NJ",Ship Bottom Water Depart,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/06/01 - 2007/06/30,12000,Yes,No
27,148,Dichloroacetic acid,1.1 ppb,1.55 ppb,. Source,60 ppb,8533,"BERKELEY TWP, NJ; BERKELEY TWP.-1505, NJ",Shore Water Company,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/07/01 - 2007/07/31,4800,Yes,No
28,151,Combined Radium (-226 & -228),2.25 pCi/L,5.24 pCi/L,. Source,5 pCi,8533,"OCEAN GATE, NJ; OCEAN GATE BORO-1521, NJ",Ocean Gate Water Dept,Follow-up and Routine Tap Sampling,2005/10/01 - 2025/12/31,3200,Yes,Yes
29,169,Bromodichloromethane,0.91 ppb,1.92 ppb,. Source,80 ppb,8533,"JACKSON TWP, NJ; JACKSON TWP.-1511, NJ",Jackson Estates Mobile Home Pk,Failure to monitor regularlyArsenic (total),2005/01/01 - 2007/12/31,440,Yes,No
30,176,Combined Radium (-226 & -228),2 pCi/L,2.75 pCi/L,. Source,5 pCi,8533,"JACKSON TWP, NJ; JACKSON TWP.-1511, NJ",Meadowbrook Co-Op Inc,"Maximum contaminant level, Monthly (Coliform bacteria)",2009/01/01 - 2009/01/31,150,Yes,No
31,204,Total trihalomethanes (TTHMs),62.31 ppb,108 ppb,9.8 ppb,80 ppb,41836,"HINDMAN, KY",City of Hindman,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2006/01/01 - 2006/03/31,2350,Yes,Yes
32,215,Dichloroacetic acid,7 ppb,7 ppb,. Source,60 ppb,49303,"RAVENNA, MI",Ravenna,Failure to monitor regularlyCombined Radium (-226 & -228),2005/04/01 - 2005/06/30,1206,Yes,No
33,339,Nitrate,0.38 ppm,0.77 ppm,10 ppm,10 ppm,16828,"COBURN, PA",Penn Twp Water Dist,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2004/01/01 - 2004/03/31,300,No,No
34,361,Total haloacetic acids (HAAs),23.74 ppb,82.7 ppb,0.7 ppb,60 ppb,65276,"BOONVILLE, MO",Boonville,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2004/10/01 - 2004/12/31,8202,Yes,Yes
35,364,Lead (total),0.97 ppb,2.7 ppb,. Source,,65276,"WOOLRIDGE, MO",Cooper Co Pwsd #1,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/03/01 - 2004/03/31,553,Yes,No
36,368,Radium-226,0.63 pCi/L,0.95 pCi/L,. Source,5 pCi,65276,"PRAIRIE HOME, MO",Prairie Home,Failure to monitor regularlyAlpha particle activity (excl radon and uranium),2004/01/01 - 2004/12/31,270,Yes,No
37,369,Total trihalomethanes (TTHMs),107.64 ppb,186.5 ppb,9.8 ppb,80 ppb,65276,"BLACKWATER, MO",Cooper County Pwsd #3,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2006/06/29,160,Yes,Yes
38,373,Dibromochloromethane,0.87 ppb,1 ppb,0.4 ppb,80 ppb,5161,"WINDSOR, VT",Windsor Water Dept,Failure to report information to the public or state agency in the Consumer Confidence Report,2008/07/01 - 2008/12/04,3300,Yes,No
39,376,Lead (total),1.84 ppb,14.2 ppb,. Source,,5161,"LUDLOW, VT",Jackson Gore Okemo,Follow-up and Routine Tap Sampling,2006/10/01 - 2025/12/31,1695,Yes,No
40,380,Manganese,55 ppb,110 ppb,50 ppb,50 ppb,5161,"BETHEL, VT",Bethel Water Dept,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/07/01 - 2007/07/31,915,Yes,Yes
41,397,Lead (total),1 ppb,2 ppb,. Source,,5161,"HARTFORD, VT",Woodside Manor,"Failure to monitor, Routine Major (Coliform bacteria)",2005/03/01 - 2005/03/31,175,Yes,No
42,407,Bromoform,0.32 ppb,0.45 ppb,. Source,80 ppb,5161,"PLYMOUTH, VT",Birch Landing Condominium,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/06/01 - 2006/06/30,82,Yes,No
43,408,Bromodichloromethane,0.24 ppb,0.48 ppb,. Source,80 ppb,5161,"HARTFORD, VT",Merrimac Manor Mhp,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/07/01 - 2004/07/31,80,Yes,No
44,462,Total trihalomethanes (TTHMs),19.83 ppb,39.51 ppb,9.8 ppb,80 ppb,33463,"WEST PALM BEACH, FL",Casa Loma Mhp,"Failure to monitor, Routine Major (Coliform bacteria)",2005/01/01 - 2005/01/31,114,Yes,No
45,429,Gross beta particle activity (mrem/yr),9 mrem/yr,9 mrem/yr,. Source,4 mrem,33463,"WELLINGTON, FL",Wellington Wtp,Failure to monitor regularlyNitrate,2007/01/01 - 2007/12/31,50004,Yes,Yes
46,435,Total haloacetic acids (HAAs),11.81 ppb,21.12 ppb,0.7 ppb,60 ppb,33463,"PAHOKEE, FL",City of Pahokee,Monitoring and Reporting Disinfection Byproduct RuleTotal haloacetic acids (HAAs),2004/01/01 - 2004/03/30,9500,Yes,No
47,439,Total trihalomethanes (TTHMs),51.84 ppb,123.38 ppb,9.8 ppb,80 ppb,33463,"SOUTH BAY, FL",South Bay Wtp,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2008/08/04,4036,Yes,Yes
48,457,Total haloacetic acids (HAAs),28.13 ppb,151.7 ppb,0.7 ppb,60 ppb,33463,"CLEWISTON, FL",South Shore Water Association,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2006/07/01 - 2006/09/30,315,Yes,Yes
49,458,Total haloacetic acids (HAAs),7.24 ppb,21.73 ppb,0.7 ppb,60 ppb,33463,"LAKE WORTH, FL",Royal Palm Mobile Home Park,"Failure to monitor, Routine Major (Coliform bacteria)",2006/07/01 - 2006/07/31,300,Yes,No
50,463,Total haloacetic acids (HAAs),47.82 ppb,95.4 ppb,0.7 ppb,60 ppb,33463,"BOYNTON BEACH, FL",Parry Trailer Village,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2007/04/01 - 2007/06/30,114,Yes,Yes
51,468,Total haloacetic acids (HAAs),22.35 ppb,22.35 ppb,0.7 ppb,60 ppb,82050,"CHEYENNE, WY","U.S. Air Force, F.E. Warren Afb","Failure to monitor, Routine Minor (Coliform bacteria)",2006/06/01 - 2006/06/30,5560,Yes,No
52,469,Alpha particle activity (incl. radon & uranium),18.03 pCi/L,21.8 pCi/L,,15 pCi,82050,"PINE BLUFFS, WY",Town of Pine Bluffs,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/10/01 - 2004/10/31,1153,Yes,Yes
53,472,Radium-228,0.26 pCi/L,0.5 pCi/L,. Source,5 pCi,82050,"BURNS, WY",Burns Bd. of Public Utilities,Failure to report information to the public or state agency in the Consumer Confidence Report,2006/07/01 - 2006/09/08,254,Yes,No
54,475,Total haloacetic acids (HAAs),1.56 ppb,1.98 ppb,0.7 ppb,60 ppb,82050,"CARPENTER, WY",Carpenter Water & Sewer Dist,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/07/01 - 2004/07/31,90,Yes,No
55,477,Total haloacetic acids (HAAs),9.02 ppb,22 ppb,0.7 ppb,60 ppb,82050,"CHEYENNE, WY",Hide-A-Way Mobile Home Park,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/09/28,69,Yes,No
56,478,Combined Radium (-226 & -228),1 pCi/L,1 pCi/L,. Source,5 pCi,82050,"CHEYENNE, WY",High Plains Ranch,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/06/01 - 2006/06/30,50,Yes,No
57,509,Total haloacetic acids (HAAs),27.26 ppb,33.23 ppb,0.7 ppb,60 ppb,14619,"ROCHESTER, NY; ROCHESTER (C), NY",Rochester City,"Maximum contaminant level, Acute (Coliform bacteria)",2006/09/01 - 2006/09/30,214000,Yes,No
58,511,Combined Radium (-226 & -228),1.15 pCi/L,2.3 pCi/L,. Source,5 pCi,14619,"ROCHESTER, NY; ROCHESTER (T), NY",Streamside Estates,Excess Turbidity at 0.3 NTU,2005/04/01 - 2005/04/30,67,Yes,No
59,513,Lead (total),0.3 ppb,0.3 ppb,. Source,,14619,"ROCHESTER, NY; ROCHESTER (T), NY",Willbe Mhp,Operations Report,2004/01/01 - 2004/01/31,45,Yes,No
60,530,Thallium (total),0.17 ppb,0.5 ppb,0.1 ppb,2 ppb,46325,"CEDAR LAKE, IN",Cedar Lake Water Works,"Failure to monitor, Routine Major (Coliform bacteria)",2004/12/01 - 2004/12/31,1923,Yes,No
61,539,Chromium (total),1.75 ppb,3.5 ppb,100 ppb,100 ppb,46325,"CROWN POINT, IN",Chicagoland Christian Village,Inadequate reporting of information to the public,2008/10/01 - 2025/12/31,150,No,No
62,540,Barium (total),160 ppb,170 ppb,700 ppb,2000 ppb,46325,"MERRILLVILLE, IN",Crossings Mobile Home Park,Failure to report information to the public or state agency in the Consumer Confidence Report,2008/07/01 - 2025/12/31,125,No,No
63,536,Total haloacetic acids (HAAs),2.48 ppb,6 ppb,0.7 ppb,60 ppb,46325,"CEDAR LAKE, IN",Fairway Regional Water District,Inadequate reporting of information to the public,2008/10/01 - 2025/12/31,210,Yes,No
64,537,Di(2-ethylhexyl) phthalate,0.61 ppb,1.22 ppb,. Source,6 ppb,46325,"CEDAR LAKE, IN",Cedar Lake Mobile Home Park,Inadequate reporting of information to the public,2008/10/01 - 2008/10/21,200,Yes,No
65,538,Cyanide,95 ppb,95 ppb,80 ppb,200 ppb,46325,"CEDAR LAKE, IN",Cedar Lake Bible Conference Grounds,Failure to monitor regularlyNitrate,2007/01/01 - 2007/12/31,150,Yes,No
66,543,Arsenic (total),0.5 ppb,1 ppb,. Source,10 ppb,46325,"GRIFFITH, IL; GRIFFITH, IN",Bremerton Mobile Home Park,"Failure to monitor, Routine Major (Coliform bacteria)",2007/04/01 - 2007/04/30,48,Yes,No
67,544,Dichloromethane (methylene chloride),0.14 ppb,0.7 ppb,. Source,5 ppb,46325,"MERRILLVILLE, IN",Rockwell Shores Apartments,"Failure to monitor, Routine Major (Coliform bacteria)",2004/08/01 - 2004/08/31,45,Yes,No
68,546,Lead (total),5 ppb,5 ppb,. Source,,46325,"CEDAR LAKE, IN",Cedar Gardens Mhp,Initial Tap Sampling for Lead and Copper,2007/01/10 - 2007/09/06,34,Yes,No
69,621,Manganese,59.65 ppb,282 ppb,50 ppb,50 ppb,90040,"MONTEREY, CA",Cal AM Water Company - Monterey,Failure to monitor regularlyNitrate,2004/07/01 - 2004/09/30,92115,Yes,Yes
70,630,Manganese,52.74 ppb,330 ppb,50 ppb,50 ppb,90040,"LYNWOOD, CA","Lynwood-City, Water Dept.",Follow-up and Routine Tap Sampling,2006/01/01 - 2007/11/16,68532,Yes,Yes
71,708,Arsenic (total),2.5 ppb,5.9 ppb,. Source,10 ppb,90040,"MONTEBELLO, CA",South Montebello Irrigation Dist.,"Over maximum contaminant level, AverageArsenic (total)",2008/01/01 - 2008/03/31,7880,Yes,No
72,737,Total trihalomethanes (TTHMs),62.58 ppb,127 ppb,9.8 ppb,80 ppb,90040,"NICE, CA",Nice Mutual Water Company,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2004/04/01 - 2005/03/31,2500,Yes,Yes
73,759,Nitrate,5.08 ppm,12.65 ppm,10 ppm,10 ppm,90040,"GREEN VALLEY, CA",Green Valley Cwd,"Over maximum contaminant level, AverageNitrate",2005/06/01 - 2005/07/31,1000,Yes,Yes
74,864,Dibromochloromethane,2.46 ppb,4.48 ppb,0.4 ppb,80 ppb,77345,"BELLAIRE, TX",City of Bellaire,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2005/03/31,16000,Yes,No
75,867,Total haloacetic acids (HAAs),22.95 ppb,66.7 ppb,0.7 ppb,60 ppb,77345,"SOUTH HOUSTON, TX",City of South Houston,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/09/01 - 2004/09/30,12798,Yes,Yes
76,1009,Chloroform,42.39 ppb,106.77 ppb,5.7 ppb,80 ppb,77345,"CROSBY, TX",Crosby Mud,"Over maximum contaminant level, AverageTotal haloacetic acids (HAAs)",2005/01/01 - 2005/03/31,3162,Yes,Yes
77,1255,Bromoform,0.08 ppb,0.3 ppb,. Source,80 ppb,77345,"HOUSTON, TX",Lake Houston Storage,Public Notification Violation for National Primary Drinking Water Regulations,2004/05/01 - 2025/12/31,360,Yes,No
78,1510,Total trihalomethanes (TTHMs),0.41 ppb,1.23 ppb,9.8 ppb,80 ppb,36049,"RUTLEDGE, AL",Rutledge Water Works,Monitoring and Reporting Disinfection Byproduct RuleTotal trihalomethanes (TTHMs),2005/01/01 - 2007/12/31,810,No,No
79,1511,Bromoform,0.31 ppb,0.61 ppb,. Source,80 ppb,36049,"DOZIER, AL",Dozier Water Works,"Failure to monitor, Routine Minor (Coliform bacteria)",2004/07/01 - 2004/07/31,420,Yes,No
80,1513,Total trihalomethanes (TTHMs),53.01 ppb,111.58 ppb,9.8 ppb,80 ppb,43551,"BOWLING GREEN, OH",City of Bowling Green,Failure to monitor regularlyAtrazine,2005/07/01 - 2005/07/31,30000,Yes,Yes
81,1518,Total trihalomethanes (TTHMs),69.53 ppb,187 ppb,9.8 ppb,80 ppb,43551,"WESTON, OH",Weston Public Water System,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2005/07/01 - 2005/09/30,2000,Yes,Yes
82,1519,Total trihalomethanes (TTHMs),70 ppb,106.75 ppb,9.8 ppb,80 ppb,43551,"BOWLING GREEN, OH",Northwestern W & S-Portage/Rudolph Public Water Sy,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2007/06/28,1631,Yes,Yes
83,1537,o-Xylene,0.02 ppb,0.29 ppb,10000 ppb,10000 ppb,92165,"SAN DIEGO, CA",San Diego Water Department,"Maximum contaminant level, Acute (Coliform bacteria)",2004/11/01 - 2004/11/30,1281400,No,No
84,1523,Total haloacetic acids (HAAs),13.38 ppb,46.4 ppb,0.7 ppb,60 ppb,43551,"WAYNE, OH",Village of Wayne,Inadequate reporting of information to the public,2004/07/01 - 2007/07/02,840,Yes,No
85,1526,Total trihalomethanes (TTHMs),54.32 ppb,109 ppb,9.8 ppb,80 ppb,43551,"TONTOGANY, OH",Village of Tontogany,Inadequate reporting of information to the public,2004/07/01 - 2007/06/06,505,Yes,Yes
86,1533,Total haloacetic acids (HAAs),0.61 ppb,1.21 ppb,0.7 ppb,60 ppb,43551,"TOLEDO, OH",St James Estates,Failure to monitor regularlySimazine,2005/07/01 - 2005/09/30,119,Yes,No
87,1627,Alpha particle activity (incl. radon & uranium),6.7 pCi/L,6.7 pCi/L,,15 pCi,52315,"ATKINS, IA",Atkins Municipal Water Works,"Over maximum contaminant level, Single SampleNitrite",2005/07/01 - 2005/07/31,1297,No,No
88,1618,Total trihalomethanes (TTHMs),60.55 ppb,99.5 ppb,9.8 ppb,80 ppb,62081,"GREENFIELD, IL",Greenfield,"Treatment Technique Precursor RemovalCarbon, Total-Organic",2006/04/01 - 2006/06/30,1200,Yes,Yes
89,1622,Bromodichloromethane,2.5 ppb,4 ppb,. Source,80 ppb,62081,"WILMINGTON, IL",Patterson (Inc AS Wilmington),Other Non-National Primary Drinking Water Regulations Potential Health Risks,2006/09/08 - 2006/12/08,192,Yes,No
90,1623,Manganese,85.27 ppb,255.8 ppb,50 ppb,50 ppb,62081,"HILLVIEW, IL",Hillview,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2008/04/01 - 2008/06/30,150,Yes,Yes
91,1626,Dichloroacetic acid,5.28 ppb,8.41 ppb,. Source,60 ppb,52315,"NORWAY, IA",Poweshiek Water Association (Cr),"Failure to monitor, Routine Minor (Coliform bacteria)",2008/06/01 - 2008/06/30,2000,Yes,No
92,1631,Lead (total),4.96 ppb,32.5 ppb,. Source,,52315,"VAN HORNE, IA",Van Horne Water Works,Failure to monitor regularlyTotal trihalomethanes (TTHMs),2007/07/01 - 2007/08/31,716,Yes,No
93,1899,Total trihalomethanes (TTHMs),59.73 ppb,101.98 ppb,9.8 ppb,80 ppb,78642,"CEDAR PARK, TX",City of Cedar Park,Filter Turbidity Reporting,2005/03/01 - 2005/03/31,31491,Yes,Yes
94,1930,Bromoform,0.83 ppb,1.2 ppb,. Source,80 ppb,78642,"WEIR, TX",Weir Water Works,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2005/07/07,180,Yes,No
95,2224,Lead (total),9.61 ppb,11.03 ppb,. Source,,88345,"CAPITAN, NM",Bonita Park Nazarene Conference Center,Inadequate reporting of information to the public,2007/10/01 - 2008/08/25,400,Yes,No
96,2233,Total haloacetic acids (HAAs),0.38 ppb,0.75 ppb,0.7 ppb,60 ppb,88345,"ALTO, NM",Alto North Water Coop,"Failure to monitor, Repeat Major (Coliform bacteria)",2007/04/01 - 2007/04/30,100,Yes,No
97,2237,Bromoform,0.92 ppb,2.77 ppb,. Source,80 ppb,88345,"NOGAL, NM",Nogal Mdwca,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/01/01 - 2004/01/31,55,Yes,No
98,2238,Total haloacetic acids (HAAs),1.75 ppb,3.33 ppb,0.7 ppb,60 ppb,88345,"ALTO, NM",High Sierra Estates Water Assn,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/09/01 - 2005/09/30,55,Yes,No
99,2242,Total haloacetic acids (HAAs),5.5 ppb,9.51 ppb,0.7 ppb,60 ppb,45341,"SPRINGFIELD, OH",Clark County Northridge #1 Pws,Failure to monitor regularlyAsbestos,2004/01/01 - 2004/03/31,9500,Yes,No
100,2253,Chloroform,5.27 ppb,7.37 ppb,5.7 ppb,80 ppb,45341,"NORTH HAMPTON, OH","North Hampton, Village O",Failure to monitor regularlyNitrate,2007/01/01 - 2007/12/31,470,Yes,No
101,2251,Total haloacetic acids (HAAs),15.45 ppb,42 ppb,0.7 ppb,60 ppb,45341,"SOUTH VIENNA, OH",Brookside Village Mhp,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/08/01 - 2007/08/31,475,Yes,No
102,2259,Arsenic (total),12.91 ppb,29 ppb,. Source,10 ppb,45341,"SPRINGFIELD, OH",Springfield Meadows Mhp,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/06/01 - 2004/06/30,235,Yes,Yes
103,2263,Arsenic (total),3.5 ppb,7 ppb,. Source,10 ppb,45341,"SOUTH VIENNA, OH",Sunshine Mobile Home Par,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2008/02/22,147,Yes,No
104,2271,Trichloroethylene,2 ppb,2.3 ppb,. Source,5 ppb,45341,"ENON, OH",Dwight Road Mobile Home,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/06/01 - 2004/06/30,24,Yes,No
105,2277,Radium-226,3.7 pCi/L,7.7 pCi/L,. Source,5 pCi,29801,"JACKSON, SC",Town of Jackson,"Over maximum contaminant level, AverageCombined Radium (-226 & -228)",2004/01/01 - 2004/03/31,6210,Yes,Yes
106,2312,Total haloacetic acids (HAAs),2.33 ppb,5 ppb,0.7 ppb,60 ppb,73023,"VERDEN, OK",Verden,"Over maximum contaminant level, Single SampleNitrate & nitrite",2008/01/01 - 2008/12/31,659,Yes,No
107,2340,Total haloacetic acids (HAAs),42.1 ppb,88.25 ppb,0.7 ppb,60 ppb,21273,"BALTIMORE, MD",Baltimore City Department of Public Works,Filter Turbidity Reporting,2007/02/01 - 2007/02/28,1600000,Yes,Yes
108,2343,Alpha particle activity (excl radon and uranium),2.5 pCi/L,3 pCi/L,. Source,15 pCi,21273,"BALTIMORE, MD",Meadow Park Mobile Subdivision,Failure to monitor regularlyNitrite,2007/01/01 - 2007/12/31,32,Yes,No
109,4467,Manganese,22.13 ppb,66.67 ppb,50 ppb,50 ppb,94248,"CITRUS HEIGHTS, CA",Citrus Heights Water District,Monitoring and Reporting Disinfection Byproduct Rule,2007/04/01 - 2025/12/31,68189,Yes,Yes
110,4540,Manganese,150 ppb,150 ppb,50 ppb,50 ppb,94248,"HOOD, CA",Robin Hood Trailer Park,"Failure to monitor, Routine Major (Coliform bacteria)",2007/03/01 - 2007/03/31,30,Yes,Yes
111,4544,Radon,356 pCi/L,375.33 pCi/L,1.5 pCi,. State,56338,"ROYALTON, MN",Royalton,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2005/08/30,886,Yes,No
112,4550,Radon,522 pCi/L,571 pCi/L,1.5 pCi,. State,56338,"BUCKMAN, MN",Buckman,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2006/01/01 - 2006/03/31,217,Yes,No
113,4557,Total trihalomethanes (TTHMs),11.72 ppb,14.9 ppb,9.8 ppb,80 ppb,45214,"CLEVES, OH",Village of Cleves,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/07/01 - 2008/07/31,4950,Yes,No
